© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
PCP (Planar Cell Polarity) Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Post-translational protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Myelination Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CGAS-STING Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen biosynthesis and modifying enzymes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acute Phase Response Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by EGFR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Galactose catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by VEGF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-27 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transcriptional and post-translational regulation of MITF-M expression and activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Miscellaneous transport and binding events	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Preeclampsia Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuroprotective Role of THOP1 in Alzheimer's Disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LPS/IL-1 Mediated Inhibition of RXR Function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Salvage Pathways of Pyrimidine Deoxyribonucleotides	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Histidine catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PD-1, PD-L1 cancer immunotherapy pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Human Embryonic Stem Cell Pluripotency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Crosstalk between Dendritic Cells and Natural Killer Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-7 signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-type lectin receptors (CLRs)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Axonal Guidance Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G alpha (q) signalling events	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degradation of the extracellular matrix	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-4 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.0
Growth hormone receptor signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colanic Acid Building Blocks Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hematopoiesis from Multipotent Stem Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases Activate ROCKs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cerebral Malformation Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glycine Betaine Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apoptotic execution phase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases activate PKNs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UDP-N-acetyl-D-galactosamine Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPARα/RXRα Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuregulin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
O-linked glycosylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cargo recognition for clathrin-mediated endocytosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAR Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sleep REM Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAT3 Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastrin-CREB signalling pathway via PKC and MAPK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Death Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ILK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Keratinization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Leukocyte Extravasation Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oncostatin M Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFE2L2 regulating tumorigenic genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G-protein beta:gamma signalling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOD1/2 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Erythropoietin Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serotonin Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-17 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estrogen Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PI3K/AKT Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-1 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Complement System	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Docosahexaenoic Acid (DHA) Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ephrin A Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clathrin-mediated endocytosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Multiple Sclerosis Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen chain trimerization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autophagy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Granulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary Breast Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial-Mesenchymal Transition Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prolactin receptor signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGB1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transcriptional Regulatory Network in Embryonic Stem Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFs bind their physiological receptors	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Toll-like Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Integrin cell surface interactions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPAR Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Histidine Degradation III	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sertoli Cell-Sertoli Cell Junction Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-13 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAFLD Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glioblastoma Multiforme Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOTAIR Regulatory Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bladder Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by MET	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Galactose Degradation I (Leloir Pathway)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial Division Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cargo concentration in the ER	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
