© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Actin Nucleation by ARP-WASP Complex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-8 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pentose phosphate pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macropinocytosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inositol phosphate metabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
YAP1- and WWTR1 (TAZ)-stimulated gene expression	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Caveolar-mediated Endocytosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LPS-stimulated MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Small Cell Lung Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of cholesterol biosynthesis by SREBP (SREBF)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurotransmitter uptake and metabolism In glial cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Preeclampsia Signaling Pathway	N/A	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mevalonate Pathway I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of folate and pterines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHOGDI Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PD-1, PD-L1 cancer immunotherapy pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR1H2 and NR1H3-mediated signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-17A Signaling in Fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transcriptional regulation by RUNX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Notch Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Axonal Guidance Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Processing of SMDT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G alpha (q) signalling events	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Elastic fibre formation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Growth hormone receptor signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mismatch Repair in Eukaryotes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFR1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Superpathway of Inositol Phosphate Compounds	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Paxillin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Germ Cell-Sertoli Cell Junction Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-23 Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hematoma Resolution Signaling Pathway	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAT3 Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serine biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GDNF Family Ligand-Receptor Interactions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTEN Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cholesterol Biosynthesis III (via Desmosterol)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oxidative Stress Induced Senescence	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of Actin-based Motility by Rho	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial calcium ion transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Semaphorin Neuronal Repulsive Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IGF-1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UVB-Induced MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PI3K/AKT Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-3 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GM-CSF Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Irritable Bowel Syndrome Signaling Pathway	0.0	0.0	0.0	N/A	N/A	N/A	N/A	0.0	N/A	N/A
Intrinsic Pathway for Apoptosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGB1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TR/RXR Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oleate Biosynthesis II (Animals)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gαq Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Corticotropin Releasing Hormone Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MSP-RON Signaling in Macrophages Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Superpathway of Serine and Glycine Biosynthesis I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NGF-stimulated transcription	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-2 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXO-mediated transcription of cell death genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VEGF Family Ligand-Receptor Interactions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTEN Regulation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sirtuin Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Angiopoietin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGF Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Insulin Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sumoylation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HIF1α Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Renal Cell Carcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD40 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Granzyme A Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of JAK2 in Hormone-like Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MSP-RON Signaling in Cancer Cells Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of RUNX2 expression and activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prolactin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transport of inorganic cations/anions and amino acids/oligopeptides	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glioma Invasiveness Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Microautophagy Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pentose Phosphate Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JAK/STAT Signaling	0.0	N/A	0.0	N/A	N/A	N/A	N/A	0.0	N/A	N/A
RET signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pulmonary Healing Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ephrin Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-myo-inositol (1,4,5)-trisphosphate Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-12 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ketogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-6 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Isoleucine Degradation I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT ligand biogenesis and trafficking	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RANK Signaling in Osteoclasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tumor Microenvironment Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Relaxin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases activate PAKs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERBB Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ESR-mediated signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Basal Cell Carcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCP (Planar Cell Polarity) Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glutaryl-CoA Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Myo-inositol Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Virus Entry via Endocytic Pathways	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Semaphorin Signaling in Neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen biosynthesis and modifying enzymes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acute Phase Response Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of JAK family kinases in IL-6-type Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tryptophan catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitotic Telophase/Cytokinesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by VEGF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAC Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFE2L2 regulates pentose phosphate pathway genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Polyamine Regulation in Colon Cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cAMP-mediated signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by Leptin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cholesterol biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-7 signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGF Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thrombopoietin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PAK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degradation of the extracellular matrix	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GNRH Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3-phosphoinositide Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
p75 NTR receptor-mediated signalling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by PDGF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apelin Endothelial Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sleep REM Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Zymosterol Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by ROBO receptors	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Superpathway of Cholesterol Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of the ureteric bud	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UVA-Induced MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL-17 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interleukin-2 family signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurotrophin/TRK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Amyotrophic Lateral Sclerosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PEDF Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen chain trimerization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
